HLT     Halt (stops clock)
RST     Reset (resets PC, Inst Step Register) - what else?

PCI     PC In
PCO     PC Out
PCP     PC Plus (increment PC)

MRI     Memory Register In
MRO     Memory Register Out (Not required since it is always enabled)

MO      Memory Out
MI      Memory In

IRI     Inst Reg In
IRO     Inst Reg Out

ARI     Arg Reg In 
ARO     Arg Reg Out

R#I     General Purpose Reg In
R#O     General Purpose Reg Out

RII     Register Input MUX In
ROI     Register Input MUX Out

ROI     Register Output MUX In
ROO     Register Output MUX Out

AAI     ALU A In
ABI     ALU B In
AOI     ALU Op In
AVO     ALU Value Out
AFO     ALU Flag Out

FI      ALU Flag Reg In
FO      ALU Flag Reg Out
